ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",20883,66740,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",42942,91142,1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",20883,1800,1888
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",41274,1551152,2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",40730,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",35555,796343,1982
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",42814,2488,1969
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",36070,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",36308,4977,1955
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",36682,1090872,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",31167,2969,1940
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",45187,1559720,2008
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",39275,1086222,1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",42552,915913,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",42814,1035443,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",42905,1097149,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",41610,1579241,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",42552,352541,1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",34893,899051,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",41732,1652044,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",38810,1652044,1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",20883,764180,1985
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",38674,1018724,1994
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",43623,1748790,2019 (1860)
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",33500,1002910,1902
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",42086,6201,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",20883,4904,1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",27941,4962,1850
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",29311,5272,1919
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",39405,1053507,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",42433,1410636,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",38628,820027,1894
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",41540,1037868,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",33605,318154,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",39721,820313,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",36445,6281,1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",42905,1013462,1969
AON,Aon,Financials,Insurance Brokers,"London, UK",35178,315293,1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",35639,1841666,1954
